51.91.251.189:8443#FR [208.53ms]
51.91.250.218:443#FR [210.79ms]
152.228.134.25:2053#FR [213.55ms]
51.91.253.57:443#FR [213.6ms]
51.77.140.100:8443#FR [213.98ms]
51.77.140.254:8443#FR [214.13ms]
152.228.134.25:8443#FR [215.17ms]
51.91.103.142:2053#FR [215.99ms]
193.219.99.167:8443#GB [210.02ms]
193.219.99.197:8443#GB [212.45ms]
193.219.99.7:8443#GB [212.69ms]
193.219.99.59:8443#GB [213.29ms]
193.219.99.57:8443#GB [214.46ms]
193.219.99.120:8443#GB [214.55ms]
57.129.137.63:443#GB [214.59ms]
193.219.99.159:8443#GB [214.84ms]
57.128.181.125:8443#GB [215.99ms]
57.128.181.125:443#GB [216.17ms]
206.53.48.65:443#GE [321.99ms]
91.250.248.151:443#GR [288.99ms]
38.54.29.210:2053#GR [320.72ms]
47.83.14.42:8443#HK [39.28ms]
47.76.218.163:443#HK [44.92ms]
103.43.191.121:8443#HK [45.61ms]
47.239.189.60:443#HK [46.32ms]
206.237.17.52:443#HK [47.28ms]
43.168.16.112:443#HK [优选高速 47.45ms]
103.224.80.7:2087#HK [47.49ms]
8.223.63.150:443#HK [50.04ms]
8.223.63.189:443#HK [53.95ms]
43.154.131.189:443#HK [57.87ms]
5.181.2.71:443#HR [247.59ms]
5.181.2.41:443#HR [276.27ms]
5.181.2.78:8443#HR [279.63ms]
5.181.2.41:8443#HR [279.66ms]
46.183.184.60:443#HR [305.6ms]
5.181.2.248:8443#HR [1246.32ms]
77.91.72.13:443#HU [220.04ms]
91.219.236.202:2053#HU [239.91ms]
38.180.225.181:443#HU [241.42ms]
91.219.236.202:8443#HU [256.97ms]
38.180.108.148:443#HU [268.47ms]
91.219.237.49:443#HU [271.98ms]
91.219.238.217:8443#HU [1249.22ms]
38.180.109.174:443#HU [1254.5ms]
5.182.38.111:443#HU [1256.67ms]
38.180.225.166:443#HU [1257.53ms]
195.86.13.120:443#ID [271.02ms]
43.218.77.16:443#ID [1248.79ms]
82.153.226.158:8443#ID [1272.27ms]
202.155.18.38:8443#ID [1393.12ms]
52.19.138.237:2053#IE [246.23ms]
85.159.229.122:443#IE [249.66ms]
54.229.164.147:2053#IE [251.28ms]
34.250.168.254:443#IE [254.9ms]
63.32.194.15:8443#IE [256.74ms]
34.240.243.226:443#IE [257.14ms]
63.32.194.15:2053#IE [259.11ms]
52.19.138.237:8443#IE [262.61ms]
54.229.164.147:8443#IE [264.29ms]
194.87.245.135:8443#IE [273.18ms]
91.225.218.230:443#IL [261.78ms]
64.176.167.56:8443#IL [266.44ms]
64.176.170.68:8443#IL [272.45ms]
77.91.69.141:2053#IL [280.57ms]
80.178.58.56:443#IL [281.09ms]
77.91.69.141:8443#IL [290.23ms]
185.239.48.55:8443#IL [312.39ms]
45.144.172.33:443#IL [321.78ms]
4.240.110.47:443#IN [136.21ms]
98.70.26.236:443#IN [140.06ms]
20.235.220.189:443#IN [173.74ms]
20.235.105.146:443#IN [176.39ms]
65.20.85.14:443#IN [243.81ms]
45.89.105.65:2053#IN [313.02ms]
195.35.21.37:443#IN [334.62ms]
216.10.243.159:443#IN [416.88ms]
43.230.200.169:443#IN [419.01ms]
64.227.174.213:8443#IN [422.2ms]
194.247.182.120:8443#IS [267.69ms]
89.147.109.212:443#IS [329.5ms]
89.147.111.223:2053#IS [330.5ms]
38.180.194.222:2053#IT [227.95ms]
194.165.59.20:443#IT [246.87ms]
132.243.205.87:8443#IT [278.13ms]
113.30.151.151:8443#IT [283.05ms]
217.61.61.242:443#IT [284.97ms]
45.92.70.176:8443#IT [288.46ms]
132.243.205.75:8443#IT [289.16ms]
113.30.151.151:2053#IT [289.46ms]
132.243.205.99:8443#IT [295.39ms]
89.46.70.46:443#IT [300.15ms]
47.242.28.106:443#JP [40.71ms]
50.114.113.43:443#JP [79.38ms]
185.200.64.238:2053#JP [89.03ms]
212.135.210.88:8443#JP [92.01ms]
45.89.232.111:8443#JP [94.14ms]
202.144.194.170:443#JP [优选高速 96.75ms]
103.201.130.54:8443#JP [100.52ms]
212.135.211.105:443#JP [101.14ms]
38.207.130.242:8443#JP [105.33ms]
38.207.130.136:443#JP [106.01ms]
5.144.180.142:443#KG [274.01ms]
188.240.213.98:8443#KG [869.39ms]
52.141.25.42:443#KR [127.41ms]
43.200.87.5:443#KR [优选高速 173.72ms]
64.176.226.26:8443#KR [303.55ms]
45.196.233.37:443#KR [305.08ms]
132.145.91.181:8443#KR [331.29ms]
152.70.253.84:8443#KR [333.24ms]
64.110.71.6:443#KR [1337.78ms]
46.247.41.93:8443#KZ [292.78ms]
45.136.59.73:8443#KZ [295.18ms]
92.118.115.22:2053#KZ [295.65ms]
45.8.98.82:443#KZ [297.03ms]
80.90.183.75:2053#KZ [302.94ms]
31.130.154.183:443#KZ [303.64ms]
91.224.74.73:443#KZ [304.77ms]
83.222.22.61:2053#KZ [305.88ms]
195.58.52.52:2053#KZ [306.05ms]
45.80.208.246:443#KZ [307.74ms]
45.12.136.62:2053#LT [238.6ms]
185.237.185.110:2053#LT [245.05ms]
5.199.169.243:443#LT [252.88ms]
103.231.72.6:2053#LT [255.2ms]
195.181.244.240:8443#LT [257.41ms]
94.131.13.110:443#LT [258.22ms]
5.199.169.243:8443#LT [259.34ms]
212.24.104.79:8443#LT [261.12ms]
93.115.25.111:443#LT [261.22ms]
94.131.14.72:443#LT [263.78ms]
